!wl(nm)	Tr (CaF2)
4120 	0.9426
4120 	0.9426
4130 	0.9426
4130 	0.9426
4130 	0.9426
4130 	0.9426
4140 	0.9426
4140 	0.9426
4140 	0.9427
4140 	0.9427
4150 	0.9427
4150 	0.9427
4150 	0.9427
4150 	0.9427
4160 	0.9427
4160 	0.9427
4160 	0.9427
4160 	0.9427
4160 	0.9427
4170 	0.9427
4170 	0.9427
4170 	0.9427
4170 	0.9427
4180 	0.9428
4180 	0.9428
4180 	0.9428
4180 	0.9428
4190 	0.9428
4190 	0.9429
4190 	0.9429
4190 	0.9429
4200 	0.9429
4200 	0.9429
4200 	0.9429
4200 	0.9429
4210 	0.9429
4210 	0.9429
4210 	0.9429
4210 	0.9429
4220 	0.9429
4220 	0.9429
4220 	0.9429
4220 	0.9429
4230 	0.9429
4230 	0.9429
4230 	0.9429
4230 	0.9428
4230 	0.9428
4240 	0.9428
4240 	0.9427
4240 	0.9427
4240 	0.9426
4250 	0.9426
4250 	0.9426
4250 	0.9426
4250 	0.9426
4260 	0.9427
4260 	0.9427
4260 	0.9428
4260 	0.9428
4270 	0.9428
4270 	0.9428
4270 	0.9428
4270 	0.9428
4280 	0.9428
4280 	0.9428
4280 	0.9428
4280 	0.9428
4290 	0.9428
4290 	0.9429
4290 	0.9429
4290 	0.9429
4300 	0.9429
4300 	0.9429
4300 	0.9429
4300 	0.943
4300 	0.943
4310 	0.943
4310 	0.943
4310 	0.943
4310 	0.943
4320 	0.943
4320 	0.943
4320 	0.943
4320 	0.943
4330 	0.943
4330 	0.943
4330 	0.9431
4330 	0.9431
4340 	0.9431
4340 	0.9431
4340 	0.9432
4340 	0.9432
4350 	0.9432
4350 	0.9432
4350 	0.9431
4350 	0.9431
4360 	0.9432
4360 	0.9432
4360 	0.9432
4360 	0.9432
4370 	0.9432
4370 	0.9432
4370 	0.9432
4370 	0.9432
4370 	0.9432
4380 	0.9433
4380 	0.9433
4380 	0.9433
4380 	0.9433
4390 	0.9433
4390 	0.9433
4390 	0.9433
4390 	0.9433
4400 	0.9433
4400 	0.9433
4400 	0.9433
4400 	0.9433
4410 	0.9433
4410 	0.9433
4410 	0.9433
4410 	0.9433
4420 	0.9434
4420 	0.9434
4420 	0.9434
4420 	0.9434
4430 	0.9434
4430 	0.9434
4430 	0.9434
4430 	0.9434
4440 	0.9434
4440 	0.9434
4440 	0.9434
4440 	0.9434
4450 	0.9434
4450 	0.9434
4450 	0.9434
4450 	0.9435
4450 	0.9435
4460 	0.9434
4460 	0.9434
4460 	0.9435
4460 	0.9435
4470 	0.9435
4470 	0.9435
4470 	0.9435
4470 	0.9435
4480 	0.9435
4480 	0.9435
4480 	0.9435
4480 	0.9435
4490 	0.9435
4490 	0.9436
4490 	0.9436
4490 	0.9436
4500 	0.9436
4500 	0.9436
4500 	0.9436
4500 	0.9436
4510 	0.9436
4510 	0.9436
4510 	0.9436
4510 	0.9436
4520 	0.9436
4520 	0.9436
4520 	0.9436
4520 	0.9436
4520 	0.9437
4530 	0.9437
4530 	0.9437
4530 	0.9437
4530 	0.9437
4540 	0.9437
4540 	0.9437
4540 	0.9437
4540 	0.9437
