Column 1: Number of ignored points
Column 2: Y-axis intersept point in nm
Column 3: -m_1 index (given by l/2) in nm
Column 4: Film thickness calculated from the slope a (NOT final) in nm
Column 5: Film thickness 2nd iteration (d2 in Table 1 in Swanepoel(1983)) in nm
Column 1-5 LINEAR interp, Column 6-10 SPLINE interp
0	-13.8734136333	-14.0	10033.5876792	10569.4928231		0	-13.8710237268	-14.0	10032.9260689	10565.9717965
1	-13.721295517	-13.5	9989.81119701	10426.6424647		1	-13.7200546182	-13.5	9990.94461128	10424.5028167
2	-13.5703093637	-13.5	9945.36545254	10417.2496086		2	-13.5725242271	-13.5	9945.25193324	10413.5168111
3	-13.4246610669	-13.5	9899.59612869	10406.1092557		3	-13.4274096786	-13.5	9899.4214819	10402.2186468
4	-13.2763062161	-13.5	9854.74572199	10396.355471		4	-13.278354691	-13.5	9854.96856069	10392.8810893
5	-13.1275551336	-13.0	9811.62123896	10252.1147176		5	-13.1295516754	-13.0	9811.73018314	10248.6673249
6	-12.9798568293	-13.0	9769.1290234	10244.1259949		6	-12.9816621123	-13.0	9768.98017327	10240.4800817
7	-12.8324423535	-13.0	9725.78856931	10235.6071081		7	-12.8343513183	-13.0	9726.02510846	10232.2357974
8	-12.6876236691	-12.5	9684.63051288	10091.0983412		8	-12.6885322168	-12.5	9684.09309562	10087.3787633
9	-12.5466626371	-12.5	9645.32087569	10084.7260744		9	-12.5482007892	-12.5	9645.08485788	10081.1268426
10	-12.4065841091	-12.5	9606.17162746	10078.5414009		10	-12.4092856785	-12.5	9606.4813494	10075.1715958
11	-12.2635304994	-12.5	9565.04883551	10071.4564623		11	-12.2669317145	-12.5	9565.81972989	10068.3225921
12	-12.1194252852	-12.0	9522.41769952	9924.06169834		12	-12.1226520337	-12.0	9522.97130984	9920.89596272
13	-11.9757442518	-12.0	9479.18741431	9915.31338189		13	-11.9789117461	-12.0	9479.54201317	9911.97527401
14	-11.8328226697	-12.0	9435.95481895	9906.64969003		14	-11.8359535944	-12.0	9436.16780991	9903.1814717
15	-11.6909697498	-11.5	9393.39685496	9757.61458415		15	-11.6941164655	-11.5	9393.64170776	9754.28882005
16	-11.5512413094	-11.5	9352.19463048	9749.98083842		16	-11.5544093143	-11.5	9352.46087684	9746.64723041
17	-11.4114944275	-11.5	9310.44371207	9742.12351338		17	-11.4150347131	-11.5	9311.03340084	9738.9658824
18	-11.2721038419	-11.5	9268.3667067	9734.16197372		18	-11.275317305	-11.5	9268.59174486	9730.74348197
19	-11.1348472326	-11.0	9227.48285784	9583.99901979		19	-11.1375942502	-11.0	9227.37249169	9580.51323003
20	-11.0023319496	-11.0	9188.90386933	9577.59623275		20	-11.005010621	-11.0	9188.75922108	9574.07313929
21	-10.8755425635	-11.0	9152.59521255	9572.26119271		21	-10.879931356	-11.0	9153.1363187	9568.97753829
22	-10.7528848492	-11.0	9117.70309743	9567.57428943		22	-10.7573109458	-11.0	9118.26124539	9564.27505036
23	-10.6285697105	-10.5	9081.96139458	9417.45713221		23	-10.6328369505	-10.5	9082.45931171	9414.26227509
24	-10.5003911148	-10.5	9044.36814386	9411.40541846		24	-10.5056412374	-10.5	9045.30182719	9408.36871233
25	-10.3769700191	-10.5	9008.54275735	9406.17151729		25	-10.3816575254	-10.5	9009.25400631	9403.02978899
26	-10.2547300375	-10.5	8972.97177422	9401.15478416		26	-10.2589422705	-10.5	8973.49687135	9397.92244268
27	-10.1295396356	-10.0	8935.95143252	9248.14585681		27	-10.1351267385	-10.0	8937.06389931	9245.27434319
28	-10.0082921345	-10.0	8900.3334766	9242.76510987		28	-10.0126770351	-10.0	8900.9635555	9239.69320047
29	-9.88975917462	-10.0	8865.57004046	9237.81333341		29	-9.89381077117	-10.0	8866.07401145	9234.67562604
30	-9.77280566939	-10.0	8831.20787502	9233.12526095		30	-9.77814247466	-10.0	8832.20275879	9230.13230358
31	-9.65776700191	-9.5	8797.37041149	9078.73636699		31	-9.66306663579	-9.5	8798.35572981	9075.87402132
32	-9.54207421381	-9.5	8763.08126212	9073.69876023		32	-9.54645294288	-9.5	8763.71512286	9070.69478845
33	-9.42589245125	-9.5	8728.39212807	9068.64827031		33	-9.4310130977	-9.5	8729.31826893	9065.72294949
34	-9.31434095652	-9.5	8695.2609324	9064.24277983		34	-9.31883373061	-9.5	8695.9565972	9061.22093361
35	-9.2039404331	-9.0	8662.36170786	8907.46398079		35	-9.20782910838	-9.0	8662.83597126	8904.51092678
36	-9.09394149143	-9.0	8629.41580347	8902.71140014		36	-9.09833568257	-9.0	8630.08080164	8899.79705727
37	-8.98816705007	-9.0	8597.82630522	8898.49899938		37	-8.99213842481	-9.0	8598.34150456	8895.51801049
38	-8.88813590522	-9.0	8568.09230869	8894.94517505		38	-8.89190353637	-9.0	8568.53903165	8891.92309201
39	-8.78907830316	-9.0	8538.52826134	8891.56205221		39	-8.79392311408	-9.0	8539.35080694	8888.62079108
40	-8.68889531008	-8.5	8508.39839654	8732.15130127		40	-8.69432181151	-8.5	8509.42892864	8729.41188522
41	-8.58816663168	-8.5	8477.89773948	8728.05065356		41	-8.59309100183	-8.5	8478.75214142	8725.23875881
42	-8.48731314548	-8.5	8447.17097365	8724.00973983		42	-8.49105267725	-8.5	8447.60010901	8721.05333278
43	-8.38750865352	-8.5	8416.63852848	8720.15060932		43	-8.39123511158	-8.5	8417.06545769	8717.17130274
44	-8.29237112142	-8.5	8387.58789394	8716.82761599		44	-8.29741018892	-8.5	8388.47697501	8713.94859866
