340	4.02E-04	NULL	NULL		3.647058824	4.02E-04	NULL	NULL		2.5	2500	0.6731		0.496	0.6731		3.246073298	0.281272682		0.46969697	0.91438		2.5	2500	0.6717		0.496	0.6717		2.5	2500	0.6803		0.496	0.6803
341	4.16E-04	NULL	NULL		3.636363636	4.16E-04	NULL	NULL		2.51	2510	0.6825		0.494023904	0.6825		3.204134367	0.345410194		0.402597403	0.919575		2.5	2500	0.6745		0.496	0.6745		2.5	2500	0.6831		0.496	0.6831
342	4.63E-04	NULL	NULL		3.625730994	4.63E-04	NULL	NULL		2.52	2520	0.6968		0.492063492	0.6968		3.171355499	0.410389899		0.33604336	0.9202		2.51	2510	0.6776		0.494023904	0.6776		2.51	2510	0.6862		0.494023904	0.6862
343	6.12E-04	NULL	NULL		3.61516035	6.12E-04	NULL	NULL		2.53	2530	0.71385		0.490118577	0.71385		3.123425693	0.468923532		0.269565217	0.926275		2.51	2510	0.6809		0.494023904	0.6809		2.51	2510	0.6896		0.494023904	0.6896
344	7.46E-04	NULL	NULL		3.604651163	7.46E-04	NULL	NULL		2.54	2540	0.733175		0.488188976	0.733175		3.084577114	0.530805784		0.204283361	0.9333		2.51	2510	0.6841		0.494023904	0.6841		2.51	2510	0.6928		0.494023904	0.6928
345	9.70E-04	NULL	NULL		3.594202899	9.70E-04	NULL	NULL		2.55	2550	0.75405		0.48627451	0.75405		3.039215686	0.575785325		0.20294599	0.9337		2.51	2510	0.6874		0.494023904	0.6874		2.51	2510	0.6963		0.494023904	0.6963
346	1.32E-03	NULL	NULL		3.583815029	1.32E-03	NULL	NULL		2.56	2560	0.776225		0.484375	0.776225		2.995169082	0.616906386		0.139482565	0.8792		2.52	2520	0.691		0.492063492	0.691		2.52	2520	0.6999		0.492063492	0.6999
347	1.74E-03	NULL	NULL		3.573487032	1.74E-03	NULL	NULL		2.57	2570	0.80256		0.482490272	0.80256		2.952380952	0.652900837					2.52	2520	0.6948		0.492063492	0.6948		2.52	2520	0.7037		0.492063492	0.7037
348	2.33E-03	NULL	NULL		3.563218391	2.33E-03	NULL	NULL		2.58	2580	0.82845		0.480620155	0.82845		2.903981265	0.685985116					2.52	2520	0.6986		0.492063492	0.6986		2.52	2520	0.7077		0.492063492	0.7077
349	3.11E-03	NULL	NULL		3.553008596	3.11E-03	NULL	NULL		2.59	2590	0.849925		0.478764479	0.849925		2.857142857	0.715349646					2.52	2520	0.7028		0.492063492	0.7028		2.52	2520	0.712		0.492063492	0.712
